iosKey	en	fr	pl	section
Backend returned %lld. %@	Backend returned %lld. %@	Le backend a répondu %lld. %@	Backend zwrócił %lld. %@	Misc
Capture	Capture	Capture	Wykonaj	Misc
Categories	Categories	Catégories	Kategorie	Misc
Category #%@	Category #%@	Catégorie #%@	Kategoria #%@	Misc
Category #%lld	Category #%lld	Catégorie n°%lld	Kategoria #%lld	Misc
Centimeters	Centimeters	Centimètres	Centymetry	Misc
Choose a category	Choose a category	Choisir une catégorie	Wybierz kategorię	Misc
Distance = sum of the segments between successive points. Minimum 2 points = 1 segment.	Distance = sum of the segments between successive points. Minimum 2 points = 1 segment.	Distance = somme des segments entre les points successifs. Minimum 2 points = 1 segment.	Odległość = suma odcinków między kolejnymi punktami. Minimum 2 punkty = 1 odcinek.	Misc
Distant — likely different	Distant — likely different	Éloignée — probablement différente	Odległe — prawdopodobnie inne	Misc
Désactive l'OCR sur les devices où Vision est lent ou imprécis. Désactive Mesures sur les devices sans LiDAR pour basculer en capture photo simple sous le pattern Measurement.	Désactive l'OCR sur les devices où Vision est lent ou imprécis. Désactive Mesures sur les devices sans LiDAR pour basculer en capture photo simple sous le pattern Measurement.			Misc
EAN %@	EAN %@	EAN %@	EAN %@	Misc
Envoi…	Envoi…			Misc
Fonctionnalités	Fonctionnalités			Misc
If none of the suggestions fit, define a new category using this capture as the example.	If none of the suggestions fit, define a new category using this capture as the example.	Si aucune suggestion ne correspond, définis une nouvelle catégorie à partir de cette capture.	Jeśli żadna z propozycji nie pasuje, utwórz nową kategorię, używając tego ujęcia jako wzoru.	Misc
Ignore	Ignore	Ignorer	Pomiń	Misc
Inches	Inches	Pouces	Cale	Misc
Keep	Keep	Garder	Zachowaj	Misc
La prise de vues techniques se fait désormais depuis la fiche d'une référence (onglet Scanner).	La prise de vues techniques se fait désormais depuis la fiche d'une référence (onglet Scanner).			Misc
LiDAR	LiDAR	LiDAR	LiDAR	Misc
List the dimensions you want to capture for this category. At capture time you'll place 2 or more points per measurement; the distance is the sum of the segments.	List the dimensions you want to capture for this category. At capture time you'll place 2 or more points per measurement; the distance is the sum of the segments.	Liste les dimensions à capturer pour cette catégorie. Au moment de la capture, tu placeras 2 points ou plus par mesure ; la distance est la somme des segments.	Wymień wymiary, które chcesz mierzyć w tej kategorii. Podczas pomiaru umieść 2 lub więcej punktów dla każdego — odległość to suma odcinków.	Misc
Live distance: %@	Live distance: %@	Distance en cours : %@	Aktualna odległość: %@	Misc
Looking for similar objects…	Looking for similar objects…	Recherche d'objets similaires…	Wyszukiwanie podobnych obiektów…	Misc
Measurements need a LiDAR device.	Measurements need a LiDAR device.	Les mesures nécessitent un appareil LiDAR.	Pomiary wymagają urządzenia z LiDAR.	Misc
Multiple objects detected	Multiple objects detected	Plusieurs objets détectés	Wykryto wiele obiektów	Misc
Next measurement	Next measurement	Mesure suivante	Następny pomiar	Misc
No reference for %@.	No reference for %@.	Aucune référence pour %@.	Brak referencji dla %@.	Misc
No reference image yet	No reference image yet	Pas encore d'image de référence	Brak zdjęcia referencyjnego	Misc
OCR confidence: %@%%	OCR confidence: %@%%	Confiance OCR : %@ %%	Pewność OCR: %@ %%	Misc
Optional. Linking this category to a Grand Shooting one lets the app cross-check the link at startup and clear it if the GS category disappears.	Optional. Linking this category to a Grand Shooting one lets the app cross-check the link at startup and clear it if the GS category disappears.	Optionnel. Lier cette catégorie à une catégorie Grand Shooting permet à l'app de vérifier le lien au démarrage et de le supprimer si la catégorie GS disparaît.	Opcjonalnie. Powiązanie tej kategorii z kategorią Grand Shooting pozwala aplikacji sprawdzać powiązanie przy starcie i czyścić je, gdy kategoria GS zniknie.	Misc
Password	Password	Mot de passe	Hasło	Misc
Pick a shooting method in Settings → Technical views to enable technical-view uploads.	Pick a shooting method in Settings → Technical views to enable technical-view uploads.	Choisis une méthode de shooting dans Réglages → Vues techniques pour activer le chargement des vues techniques.	Wybierz metodę zdjęciową w Ustawienia → Ujęcia techniczne, aby umożliwić przesyłanie zdjęć.	Misc
Plausible match	Plausible match	Correspondance probable	Możliwe dopasowanie	Misc
Point %@ — hold steady, or tap anywhere to lock.	Point %@ — hold steady, or tap anywhere to lock.	Point %@ — maintenez l'appareil immobile, ou touchez l'écran pour verrouiller.	Punkt %@ — trzymaj nieruchomo lub dotknij ekranu, aby zablokować.	Misc
Point %lld of %lld — hold steady, or tap anywhere to lock.	Point %lld of %lld — hold steady, or tap anywhere to lock.	Point %1$lld sur %2$lld — tiens immobile, ou touche l'écran pour figer.	Punkt %lld z %lld — trzymaj nieruchomo lub dotknij ekranu, aby zablokować.	Misc
Point %lld of %lld — hold the device still on the target.	Point %lld of %lld — hold the device still on the target.	Point %1$lld sur %2$lld — tiens l'appareil immobile sur la cible.	Punkt %lld z %lld — trzymaj urządzenie nieruchomo na celu.	Misc
Point %lld — hold steady, or tap anywhere to lock.	Point %lld — hold steady, or tap anywhere to lock.	Point %lld — tiens immobile, ou touche l'écran pour figer.	Punkt %lld — trzymaj nieruchomo lub dotknij ekranu, aby zablokować.	Misc
Points	Points	Points	Punkty	Misc
Rank %@	Rank %@	Position %@	Pozycja %@	Misc
Rank %lld	Rank %lld	Rang %lld	Pozycja %lld	Misc
Reference (ref)	Reference (ref)	Référence (ref)	Referencja (ref)	Misc
Registering %@…	Registering %@…	Enregistrement de %@…	Rejestrowanie %@…	Misc
Registering to %@	Registering to %@	Enregistrement dans %@	Rejestrowanie w %@	Misc
Remove last measurement	Remove last measurement	Supprimer la dernière mesure	Usuń ostatni pomiar	Misc
Save category	Save category	Enregistrer la catégorie	Zapisz kategorię	Misc
Saved to %@	Saved to %@	Enregistré sur %@	Zapisano do %@	Misc
Shooting method not set	Shooting method not set	Méthode de shooting non configurée	Nie wybrano metody zdjęciowej	Misc
Sign in	Sign in	Se connecter	Zaloguj się	Misc
Sign in with dev credentials	Sign in with dev credentials	Se connecter en mode dev	Zaloguj się danymi dev	Misc
Sign-in failed: %@	Sign-in failed: %@	Échec de connexion : %@	Logowanie nie powiodło się: %@	Misc
Sorted by visual similarity. The closer to the top, the better the match.	Sorted by visual similarity. The closer to the top, the better the match.	Triées par similarité visuelle. Plus en haut, meilleure est la correspondance.	Posortowane według podobieństwa wizualnego. Im wyżej, tym lepsze dopasowanie.	Misc
Stock items (%@)	Stock items (%@)	Articles (%@)	Pozycje magazynowe (%@)	Misc
Strong match	Strong match	Forte correspondance	Mocne dopasowanie	Misc
System	System	Système	Systemowy	Misc
Tap any object you don't want to measure to exclude it. Only the included objects are used for the measurement.	Tap any object you don't want to measure to exclude it. Only the included objects are used for the measurement.	Touche un objet pour l'exclure de la mesure. Seuls les objets inclus sont pris en compte.	Dotknij obiektu, którego nie chcesz mierzyć, aby go wykluczyć. Tylko dołączone obiekty są używane do pomiaru.	Misc
Tap the image to place points. A measurement needs at least 2.	Tap the image to place points. A measurement needs at least 2.	Touche l'image pour placer des points. Il faut au moins 2 points par mesure.	Dotknij zdjęcia, aby umieścić punkty. Pomiar wymaga co najmniej 2.	Misc
This image becomes the visual reference for this category. Future captures matching it will suggest this category automatically.	This image becomes the visual reference for this category. Future captures matching it will suggest this category automatically.	Cette image devient la référence visuelle pour cette catégorie. Les prochaines captures qui lui ressemblent te proposeront ce nom automatiquement.	To zdjęcie staje się wizualną referencją kategorii. Przyszłe ujęcia podobne do niego będą automatycznie sugerować tę kategorię.	Misc
Username	Username	Identifiant	Nazwa użytkownika	Misc
Uses %@ (%@ mm) × %@.	Uses %1$@ (%2$@ mm) × %3$@.	Utilise %@ (%@ mm) × %@.	Używa %@ (%@ mm) × %@.	Misc
Will save these measurements as `extra.measures` on %@.	Will save these measurements as `extra.measures` on %@.	Ces mesures seront enregistrées dans `extra.measures` sur %@.	Zapisze te pomiary jako `extra.measures` w %@.	Misc
· %@	· %@	· %@	· %@	Misc
· %@ points	· %@ points	· %@ points	· %@ punktów	Misc
· EAN %@	· EAN %@	· EAN %@	· EAN %@	Misc

# Total entries: 295
# Entries with all 3 locales: 291
# Missing fr (4): Désactive l'OCR sur les devices où Vision est lent ou imprécis. Désactive Mesures sur les devices sans LiDAR pour basculer en capture photo simple sous le pattern Measurement., Envoi…, Fonctionnalités, La prise de vues techniques se fait désormais depuis la fiche d'une référence (onglet Scanner).
# Missing pl (4): Désactive l'OCR sur les devices où Vision est lent ou imprécis. Désactive Mesures sur les devices sans LiDAR pour basculer en capture photo simple sous le pattern Measurement., Envoi…, Fonctionnalités, La prise de vues techniques se fait désormais depuis la fiche d'une référence (onglet Scanner).
# Note: no `.one`/`.other` rows emitted — the iOS catalog
# uses inline `point(s)` pseudo-plurals, not Apple variations.
# Every key from the catalog is included (no exclusion of
# `extractionState: stale` since Xcode's auto-extractor is
# unreliable — many flagged-stale entries are still live).
